"","time","value"
"356",2013-03-01 21:30:00,1516
"357",2013-03-01 21:40:00,1515.75
"358",2013-03-01 21:40:01,1515.75
"359",2013-03-01 21:41:00,1516
"360",2013-03-01 21:49:59,1516.25
"361",2013-03-01 21:50:00,1516.25
"362",2013-03-01 21:51:00,1516.25
"363",2013-03-01 21:59:29,1516
"364",2013-03-01 22:00:00,1516.25
"365",2013-03-01 22:09:59,1515.75
"366",2013-03-01 22:10:00,1515.5
"367",2013-03-01 22:11:00,1516
"368",2013-03-01 22:14:00,1516.75
"369",2013-03-01 22:14:00,1516.75
"370",2013-03-01 22:15:00,1516
"371",2013-03-01 22:21:23,1516
"372",2013-03-01 22:44:24,1516
"373",2013-03-02 00:00:00,1516.75
"374",2013-03-03 00:00:00,1516.75
"375",2013-03-03 23:00:00,1516.5
"376",2013-03-03 23:00:00,1516.5
"377",2013-03-03 23:09:39,1515
"378",2013-03-03 23:10:00,1516.5
"379",2013-03-03 23:10:00,1516.5
"380",2013-03-03 23:19:00,1516.5
"381",2013-03-03 23:19:15,1514
"382",2013-03-03 23:20:00,1516.5
"383",2013-03-03 23:29:00,1516.5
"384",2013-03-03 23:29:44,1514.75
"385",2013-03-03 23:39:00,1516.5
"386",2013-03-03 23:39:29,1514.5
"387",2013-03-03 23:40:00,1516.5
"388",2013-03-03 23:49:28,1514.25
"389",2013-03-03 23:50:00,1516.5
"390",2013-03-03 23:50:00,1516.5
"391",2013-03-03 23:59:45,1514.5
"392",2013-03-04 00:00:00,1516.5
"393",2013-03-04 00:01:00,1516.5
"394",2013-03-04 00:09:00,1516.5
"395",2013-03-04 00:09:36,1515
"396",2013-03-04 00:10:00,1516.5
"397",2013-03-04 00:19:15,1514.5
"398",2013-03-04 00:20:00,1516.5
"399",2013-03-04 00:20:00,1516.5
"400",2013-03-04 00:29:36,1514
"401",2013-03-04 00:30:00,1516.5
"402",2013-03-04 00:31:00,1516.5
"403",2013-03-04 00:39:44,1513.75
"404",2013-03-04 00:40:00,1516.5
"405",2013-03-04 00:40:00,1516.5
"406",2013-03-04 00:49:43,1513.5
"407",2013-03-04 00:50:00,1516.5
"408",2013-03-04 00:59:45,1513.25
"409",2013-03-04 01:00:00,1516.5
"410",2013-03-04 01:01:00,1516.5
